Record,LOCATION,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y,Latitude,Longitude
2914,INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD,2017,29,0,0,373099.72740,5030005.56670,-75.62749,45.40665
3275,LAURIER AVE @ NICHOLAS ST,2017,29,0,1,368373.63700,5031798.26990,-75.68762,45.42323
4570,RIVERSIDE DR @ TREMBLAY RD/HWY417 IC117 RAMP52,2017,29,0,0,370802.07810,5031015.90790,-75.65670,45.41597
365,BANK ST @ WALKLEY RD,2017,28,0,1,370337.85200,5025947.73490,-75.66330,45.37041
469,BASELINE RD @ CLYDE AVE,2017,28,1,0,364358.70330,5024890.51290,-75.73976,45.36143
2434,HAZELDEAN RD @ TERRY FOX DR,2017,28,1,0,352207.61100,5017242.45100,-75.89558,45.29354
2923,INNES RD @ JEANNE D'ARC BLVD/MER BLEUE RD,2017,28,0,0,382637.75360,5035567.55370,-75.50478,45.45570
2935,INNES RD @ TENTH LINE RD,2017,28,0,1,383951.76030,5036159.56080,-75.48788,45.46088
4268,PRINCE OF WALES DR @ WEST HUNT CLUB RD,2017,28,0,0,367458.71030,5021891.50330,-75.70057,45.33417
605,BELFAST RD @ ST. LAURENT BLVD,2017,27,0,1,372860.72410,5030578.56200,-75.63046,45.41183
703,BLAIR RD @ INNES RD,2017,26,0,0,375578.73490,5031439.55510,-75.59562,45.41931
1026,CAMPEAU DR/HWY 417 MARCH IC138R63 @ MARCH RD,2017,26,0,0,352841.62490,5020476.46670,-75.88719,45.32259
3642,MEADOWLANDS DR @ MERIVALE RD,2017,26,0,0,364858.69990,5023725.51040,-75.73352,45.35090
3803,MONTREAL RD @ ST. LAURENT BLVD,2017,26,0,0,371545.70290,5033817.59470,-75.64682,45.44110
2556,HIGHWAY 417 btwn HWY 417 ANDERSON IC104R61 & HWY 417 BOUNDARY IC96R16,2017,25,0,0,384070.82747,5025297.84079,-75.48811,45.36314
2580,HIGHWAY 417 btwn HWY417 IC118 RAMP35 & HWY417 IC117 RAMP51,2017,25,0,0,370109.46338,5031099.07365,-75.66554,45.41678
2590,HIGHWAY 417 btwn HWY417 IC121A RAMP16 & HWY417 IC121A RAMP61,2017,25,0,0,367238.93185,5029750.10597,-75.70238,45.40490
3574,MCARTHUR AVE @ VANIER PKWY,2017,25,0,0,370218.70500,5032690.58590,-75.66393,45.43109
3727,MERIVALE RD/LOTTA AVE @ CLYDE AVE,2017,25,0,0,364521.69830,5024507.52590,-75.73772,45.35797
895,BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD - CA,2017,24,1,1,367922.71010,5028091.54710,-75.69386,45.38992
1964,FALLOWFIELD RD @ GREENBANK RD,2017,24,0,0,363080.67570,5016732.45530,-75.75703,45.28813
2304,GREENBANK RD @ WEST HUNT CLUB RD,2017,24,0,0,361479.67700,5020502.47920,-75.77701,45.32218
2599,HIGHWAY 417 btwn HWY417 IC123 RAMP62 & HWY417 IC122 RAMP16,2017,24,0,0,364980.11618,5028443.67243,-75.73139,45.39335
2606,HIGHWAY 417 btwn HWY417 IC126 RAMP25 & HWY417 IC124 RAMP57,2017,24,0,0,363642.44123,5026468.79987,-75.74871,45.37569
4898,ST. JOSEPH BLVD @ TENTH LINE RD,2017,24,0,0,382890.80380,5038666.45280,-75.50105,45.48355
4917,ST. LAURENT BLVD @ COVENTRY RD/OGILVIE RD,2017,24,0,0,372305.71950,5031951.57460,-75.63736,45.42424
4927,ST. LAURENT BLVD @ WALKLEY RD,2017,24,0,1,373902.75010,5028046.85510,-75.61750,45.38895
324,BANK ST @ HUNT CLUB RD,2017,23,1,0,371608.73650,5024096.50620,-75.64733,45.35363
710,BLAIR RD @ REGIONAL RD 174 S/OR174 IC112 RAMP15,2017,23,0,0,374907.89000,5032661.54000,-75.60401,45.43037
1165,CARP RD @ HAZELDEAN RD,2017,23,1,0,348804.57590,5014360.43620,-75.93922,45.26782
1258,CEDARVIEW RD @ WEST HUNT CLUB RD,2017,23,0,0,359718.67740,5019554.47770,-75.79957,45.31379
2323,GREENBANK RD btwn WEST HUNT CLUB RD & FALLOWFIELD RD,2017,23,0,0,362274.01465,5018607.92163,-75.76709,45.30507
2615,HIGHWAY 417 btwn HWY417 IC129 RAMP25 & TRANSIT,2017,23,0,0,361359.04468,5024226.27079,-75.77812,45.35570
3805,MONTREAL RD @ VANIER PKWY,2017,23,0,1,370072.70980,5033065.59210,-75.66575,45.43448
1079,CARLING AVE @ KIRKWOOD AVE S,2017,22,0,1,364351.70050,5027337.54910,-75.73955,45.38345
1807,EAGLESON RD @ HAZELDEAN RD/ROBERTSON RD,2017,22,0,0,353673.62490,5018424.46000,-75.87678,45.30407
2605,HIGHWAY 417 btwn HWY417 IC126 RAMP16 & HWY417 IC126 RAMP61,2017,22,0,0,363109.52730,5025794.25312,-75.75559,45.36967
2993,ISABELLA ST/HWY417 IC119AR75 @ METCALFE ST,2017,22,0,0,368448.70650,5030399.56470,-75.68684,45.41064
5246,VANIER PKWY/CRICHTON ST @ BEECHWOOD AVE/ST. PA,2017,22,0,2,369127.79700,5033487.13400,-75.67777,45.43836
5259,VIEWMOUNT DR @ MERIVALE RD,2017,22,0,0,365193.69710,5022948.49540,-75.72934,45.34388
5417,WOODROFFE AVE @ KNOXDALE RD/MEDHURST DR,2017,22,0,0,363419.68990,5021826.48700,-75.75211,45.33394
53,AIRPORT PKWY @ HUNT CLUB RD,2017,21,0,0,371018.52800,5023702.99820,-75.65492,45.35015
276,AVIATION PKWY @ MONTREAL RD,2017,21,0,0,372146.71660,5034108.58280,-75.63910,45.44366
349,BANK ST @ RIVERSIDE DR N,2017,21,0,1,369225.71590,5027983.54600,-75.67723,45.38883
506,BASELINE RD/HERON RD @ PRINCE OF WALES DR,2017,21,1,0,366873.70650,5026438.53230,-75.70746,45.37514
709,BLAIR RD @ REGIONAL RD 174 N/OR174 IC112 RAMP61,2017,21,0,0,374634.73130,5032991.57500,-75.60746,45.43337
1102,CARLING AVE @ WOODROFFE AVE W,2017,21,0,1,361767.68360,5025725.51350,-75.77273,45.36916
1483,CONROY RD @ HUNT CLUB RD,2017,21,0,0,373763.74000,5025404.52280,-75.61965,45.36519
2579,HIGHWAY 417 btwn HWY417 IC117 RAMP61 & HWY417 IC115 RAMP36,2017,21,0,0,371604.61353,5031427.00371,-75.64639,45.41959
113,ALBION RD @ MITCH OWENS RD,2017,20,0,0,375906.75410,5014804.44910,-75.59382,45.26960
321,BANK ST @ HERON RD,2017,20,0,0,369995.72000,5026851.54220,-75.66755,45.37857
475,BASELINE RD @ GREENBANK RD,2017,20,0,0,360597.68430,5022584.50020,-75.78802,45.34099
1532,COVENTRY RD @ VANIER PKWY,2017,20,0,0,370676.38490,5031611.70300,-75.65823,45.42134
2294,GREENBANK RD @ HWY 417 IC129 RAMP57/IRIS ST,2017,20,1,0,360531.30900,5023312.49400,-75.78879,45.34754
2546,HIGHWAY 417 btwn Continuation of HIGHWAY 417 & HWY417 IC134 RAMP51,2017,20,0,0,354646.92318,5021202.79550,-75.86409,45.32900
3185,KIRKWOOD AVE N @ CARLING AVE,2017,20,0,0,364275.69220,5027493.53420,-75.74050,45.38486
4066,OTTAWA RIVER PKWY @ ISLAND PARK DR,2017,20,0,0,363298.69530,5029453.56340,-75.75275,45.40258
1454,COLONEL BY DR/SUSSEX DR @ RIDEAU ST,2017,19,0,1,367921.69670,5032044.58350,-75.69337,45.42549
1837,EARL ARMSTRONG RD @ RIVER RD,2017,19,1,0,367572.71850,5014684.39750,-75.70003,45.26932
2578,HIGHWAY 417 btwn HWY417 IC117 RAMP51 & HWY417 IC117 RAMP35,2017,19,0,0,370775.16585,5031185.43231,-75.65702,45.41749
2604,HIGHWAY 417 btwn HWY417 IC124 RAMP76 & HWY417 IC124 RAMP67,2017,19,0,0,364360.08311,5027444.12134,-75.73943,45.38441
2906,INDUSTRIAL AVE @ RIVERSIDE DR,2017,19,0,0,370684.71860,5030592.55340,-75.65826,45.41217
78,ALBERT ST @ BOOTH ST,2017,18,1,0,366428.69320,5030626.56660,-75.71262,45.41286
445,BANTREE ST @ INNES RD,2017,18,0,0,373705.72320,5030406.55540,-75.61969,45.41020
707,BLAIR RD @ OGILVIE RD,2017,18,0,0,374507.72370,5033198.57500,-75.60905,45.43524
1629,DALY AVE @ NICHOLAS ST,2017,18,2,1,368227.70100,5032046.57370,-75.68946,45.42548
1978,FALLOWFIELD RD @ WOODROFFE AVE,2017,18,1,0,365085.15000,5017903.19000,-75.73134,45.29850
2534,HIGHWAY 416 btwn HWY416 IC66 RAMP62 & HWY416 IC72 RAMP24,2017,18,0,0,360012.23426,5017393.92404,-75.79607,45.29433
2575,HIGHWAY 417 btwn HWY417 IC117 RAMP25 & HWY417 IC115 RAMP51,2017,18,0,0,371662.49610,5031411.72106,-75.64565,45.41945
2601,HIGHWAY 417 btwn HWY417 IC124 RAMP57 & HWY417 IC124 RAMP55,2017,18,0,0,364207.79756,5027216.73325,-75.74140,45.38237
3146,KING EDWARD AVE @ ST. PATRICK ST,2017,18,1,0,368248.70130,5032823.58880,-75.68909,45.43247
3666,MEADOWLANDS DR/TALLWOOD DR @ WOODROFFE AVE,2017,18,0,0,363056.68960,5022730.49430,-75.75663,45.34210
4824,SMYTH RD E/LANCASTER RD @ ST. LAURENT BLVD N/R,2017,18,0,0,373364.72940,5029424.55060,-75.62418,45.40140
5096,TENTH LINE RD @ CHARLEMAGNE BLVD S/DES EPINETT,2017,18,1,0,383640.97510,5036900.45590,-75.49174,45.46758
157,ALTA VISTA DR @ SMYTH RD,2017,17,0,0,370432.71590,5029081.55750,-75.66168,45.39860
742,BOOTH ST @ OTTAWA RIVER PKWY/WELLINGTON ST,2017,17,0,0,366264.25700,5031006.68790,-75.71467,45.41630
814,BREWER RD @ BRONSON AVE,2017,17,1,0,368109.04710,5027766.43590,-75.69152,45.38698
1093,CARLING AVE @ RICHMOND RD,2017,17,0,1,360245.67900,5024781.51230,-75.79227,45.36079
1214,CASTLEFRANK RD @ HAZELDEAN RD,2017,17,0,1,352677.87810,5017676.76900,-75.88955,45.29741
1235,CATHERINE ST @ KENT ST,2017,17,0,0,367907.70750,5030188.56440,-75.69378,45.40879
2421,HAWTHORNE RD/RUSSELL RD @ WALKLEY RD,2017,17,0,0,374674.74390,5028499.54130,-75.60758,45.39295
2584,HIGHWAY 417 btwn HWY417 IC119A RAMP67 & HWY417 IC118 RAMP76,2017,17,0,0,368958.54844,5030723.67680,-75.68029,45.41351
2613,HIGHWAY 417 btwn HWY417 IC127 RAMP67 & HWY417 IC126 RAMP16,2017,17,0,0,362712.97380,5025314.68483,-75.76071,45.36538
2800,HWY 417 MAITLAND IC126R26/62 @ MAITLAND AVE,2017,17,1,0,363145.68900,5025983.51840,-75.75511,45.37137
3408,LYON ST @ WELLINGTON ST,2017,17,0,0,366935.27100,5031426.16600,-75.70605,45.42001
3497,MARCH RD @ TERRY FOX DR,2017,17,0,0,349864.60860,5023399.50890,-75.92489,45.34909
3700,MERIVALE RD @ WOODFIELD DR/ROYDON PL,2017,17,0,0,365462.70110,5022298.49890,-75.72598,45.33801
4266,PRINCE OF WALES DR @ STRANDHERD DR,2017,17,0,0,367175.28980,5014824.19100,-75.70508,45.27061
4421,REGIONAL ROAD 174 EB btwn HWY417 IC113 RAMP65 & OR174 BLAIR IC112 RAMP51,2017,17,0,0,374404.28023,5032525.83368,-75.61047,45.42920
4563,RIVERSIDE DR @ BROOKFIELD RD/HOG'S BACK RD,2017,17,0,0,368167.71100,5026222.52150,-75.69097,45.37308
301,BANK ST @ CATHERINE ST,2017,16,1,3,368039.70540,5030267.57200,-75.69209,45.40949
654,BESSERER ST @ WALLER ST,2017,16,1,0,368315.93330,5032191.97780,-75.68831,45.42678
688,BLACKBURN BYPASS @ INNES RD E,2017,16,0,0,379791.74790,5033781.56490,-75.54143,45.43994
1064,CARLING AVE @ FAIRLAWN AVE/WOODROFFE AVE E,2017,16,0,0,361934.67900,5025830.53360,-75.77059,45.37009
1245,CATHERINE ST/HWY 417 O'CONN IC119BR76 @ O'CONN,2017,16,0,0,368243.71100,5030392.56410,-75.68946,45.41059
1469,COLONNADE RD @ PRINCE OF WALES DR,2017,16,0,0,367394.71160,5023266.51610,-75.70121,45.34655
1882,ELGIN ST @ LAURIER AVE,2017,16,2,1,367948.70990,5031549.57580,-75.69308,45.42103
2672,HIGHWAY 417 btwn HWY417 IC96 RAMP61 & HWY417 IC88 RAMP16,2017,16,0,1,391657.46274,5023070.72908,-75.39167,45.34221
2904,INDUSTRIAL AVE @ ALTA VISTA DR/SANDFORD FLEMIN,2017,16,0,0,370884.72380,5030557.57000,-75.65571,45.41183
4422,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT,2017,16,0,0,376553.70974,5035170.36393,-75.58262,45.45278
326,BANK ST @ JOHNSTON RD,2017,15,0,1,370851.73050,5024839.52790,-75.65689,45.36039
1804,EAGLESON RD @ FALLOWFIELD RD,2017,15,0,0,355961.63410,5012594.40570,-75.84820,45.25145
2557,HIGHWAY 417 btwn HWY417 IC104 RAMP15 & HWY417 IC96 RAMP51,2017,15,0,0,383619.07745,5025249.81490,-75.49388,45.36276
2561,HIGHWAY 417 btwn HWY417 IC110 RAMP55 & HWY417 IC104 RAMP51,2017,15,0,0,377303.63744,5026676.64172,-75.57428,45.37628
2587,HIGHWAY 417 btwn HWY417 IC119B RAMP76 & HWY417 IC119A RAMP67,2017,15,0,0,368363.35881,5030403.19842,-75.68793,45.41068
2593,HIGHWAY 417 btwn HWY417 IC121B RAMP16 & HWY417 IC121A RAMP16,2017,15,0,0,366756.07174,5029584.79890,-75.70857,45.40346
2654,HIGHWAY 417 btwn HWY417 IC155 RAMP61 & HWY417 IC145 RAMP56,2017,15,0,0,343177.35788,5016768.26160,-76.01075,45.28982
2740,HUNT CLUB RD @ BRIDLE PATH DR/DAZE ST,2017,15,1,1,371291.72890,5023864.50380,-75.65141,45.35157
3377,LONGFIELDS DR @ WOODROFFE AVE,2017,15,0,0,365421.16990,5017106.94490,-75.72715,45.29130
4036,OR174 IC109 RAMP65 @ MONTREAL RD,2017,15,0,0,376402.72550,5034982.59720,-75.58457,45.45110
4569,RIVERSIDE DR @ SMYTH RD SOUTH SIDE RAMP,2017,15,0,0,369788.44490,5028997.97590,-75.66992,45.39790
5095,TENTH LINE RD @ CHARLEMAGNE BLVD N/TOMPKINS AV,2017,15,0,1,383183.92990,5037977.88190,-75.49741,45.47733
5415,WOODROFFE AVE @ GEORGINA DR/LENESTER AVE,2017,15,0,0,361909.68660,5025370.51920,-75.77096,45.36595
868,BRONSON AVE @ CARLING AVE/GLEBE AVE,2017,14,0,0,367447.70700,5029335.56200,-75.69977,45.40115
869,BRONSON AVE @ CATHERINE ST/RAYMOND ST,2017,14,0,1,367252.70850,5029796.56650,-75.70220,45.40532
1050,CARLING AVE @ BAYSHORE DR/BIRCHDALE AVE,2017,14,0,0,359004.87100,5023990.61210,-75.80819,45.35377
1089,CARLING AVE @ PINECREST  RD/GREENVIEW AVE,2017,14,0,1,360006.67570,5024632.52800,-75.79533,45.35946
1174,CARP RD @ STITTSVILLE MAIN ST,2017,14,0,1,349524.78610,5014330.20330,-75.93005,45.26751
1468,COLONNADE RD @ MERIVALE RD,2017,14,0,0,365363.69500,5022544.49640,-75.72722,45.34023
1970,FALLOWFIELD RD @ MOODIE DR,2017,14,0,0,359501.65590,5014636.41290,-75.80288,45.26956
2618,HIGHWAY 417 btwn HWY417 IC129 RAMP61 & TRANSIT,2017,14,0,0,361112.74112,5024063.59327,-75.78128,45.35426
2926,INNES RD @ ORLEANS BLVD,2017,14,0,1,380460.79510,5034296.40300,-75.53280,45.44450
2931,INNES RD @ STAR TOP RD/WINDMILL LANE,2017,14,0,0,374147.72580,5030666.56050,-75.61401,45.41250
3140,KING EDWARD AVE @ LAURIER AVE,2017,14,0,0,368739.70720,5032034.58260,-75.68292,45.42532
3420,MACKENZIE AVE @ RIDEAU ST,2017,14,0,0,367869.69920,5032009.58020,-75.69404,45.42518
5338,WEST HUNT CLUB RD @ CLEOPATRA DR/LANCELOT DR,2017,14,0,0,365235.70000,5021732.49400,-75.72895,45.33294
277,AVIATION PKWY @ OGILVIE RD,2017,13,0,0,373110.71420,5032376.58560,-75.62702,45.42799
474,BASELINE RD @ FISHER AVE,2017,13,1,1,366166.69360,5026028.53270,-75.71654,45.37151
871,BRONSON AVE @ COMMISSIONER ST/SLATER ST,2017,13,0,0,366768.70540,5030948.56770,-75.70824,45.41573
882,BRONSON AVE @ IMPERIAL AVE/PLYMOUTH ST,2017,13,0,1,367318.70330,5029643.55170,-75.70138,45.40394
1080,CARLING AVE @ MAITLAND AVE/SHERBOURNE RD,2017,13,0,0,362942.69790,5026488.52710,-75.75764,45.37593
1437,COLONEL BY DR @ HOG'S BACK RD,2017,13,0,0,367602.70940,5025873.53780,-75.69823,45.36999
1490,CONROY RD @ WALKLEY RD,2017,13,0,0,372903.72260,5027463.53130,-75.63034,45.38380
1813,EAGLESON RD @ MICHAEL COWPLAND DR/STONEHAVEN D,2017,13,0,0,354382.62600,5016623.44410,-75.86792,45.28782
1969,FALLOWFIELD RD @ MERIVALE RD,2017,13,0,0,366891.71260,5018844.46920,-75.70819,45.30681
2049,FISHER AVE @ MEADOWLANDS DR,2017,13,0,1,366575.06490,5025045.44600,-75.71145,45.36263
2562,HIGHWAY 417 btwn HWY417 IC110 RAMP64 & HWY417 IC104 RAMP16,2017,13,0,0,377566.19228,5026642.83592,-75.57093,45.37595
2568,HIGHWAY 417 btwn HWY417 IC112 RAMP66 & HWY417 IC113 RAMP65,2017,13,0,0,374189.16552,5031365.33636,-75.61338,45.41878
2591,HIGHWAY 417 btwn HWY417 IC121A RAMP51 & HWY417 IC120A RAMP52,2017,13,0,0,367389.68505,5029786.44449,-75.70045,45.40522
2596,HIGHWAY 417 btwn HWY417 IC122 RAMP16 & HWY417 IC122 RAMP61,2017,13,0,0,365389.05266,5028933.34228,-75.72611,45.39772
2597,HIGHWAY 417 btwn HWY417 IC122 RAMP51 & HWY417 IC122 RAMP15,2017,13,0,0,365404.66489,5028922.87098,-75.72591,45.39762
2607,HIGHWAY 417 btwn HWY417 IC126 RAMP51 & HWY417 IC126 RAMP25,2017,13,0,0,363274.19055,5025973.52955,-75.75347,45.37126
2749,HUNT CLUB RD @ UPLANDS DR,2017,13,0,0,370156.72720,5023121.49210,-75.66599,45.34499
2913,INDUSTRIAL AVE btwn TRAINYARDS DR & RUSSELL RD,2017,13,0,0,371901.26035,5030497.31842,-75.64273,45.41120
3143,KING EDWARD AVE @ RIDEAU ST,2017,13,0,1,368511.70720,5032413.58920,-75.68578,45.42875
3797,MONTREAL RD @ OGILVIE RD,2017,13,0,0,375654.73500,5034556.58610,-75.59420,45.44735
4572,RIVERSIDE DR @ WALKLEY RD,2017,13,0,0,368418.72390,5024853.52930,-75.68794,45.36074
146,ALPINE AVE @ CARLING AVE,2017,12,0,0,360496.67700,5024942.51890,-75.78904,45.36221
439,BANNER RD @ GREENBANK RD,2017,12,0,0,361021.67260,5021566.49190,-75.78273,45.33179
471,BASELINE RD @ CORDOVA ST,2017,12,0,0,363593.68820,5024409.52640,-75.74958,45.35717
481,BASELINE RD @ NAVAHO DR,2017,12,0,1,363085.69070,5024097.50630,-75.75610,45.35440
821,BRIAN COBURN BLVD @ TENTH LINE RD,2017,12,0,1,384428.34000,5035022.31000,-75.48198,45.45059
873,BRONSON AVE @ FIFTH AVE/MADAWASKA DR,2017,12,0,2,367613.71270,5028938.55370,-75.69770,45.39757
1022,CAMPEAU DR @ TERRY FOX DR,2017,12,0,0,350455.60070,5019010.45520,-75.91776,45.30956
1076,CARLING AVE @ IROQUOIS RD,2017,12,0,1,362213.68600,5026025.53010,-75.76700,45.37182
1436,COLONEL BY DR @ HAWTHORNE AVE/PRETORIA BRIDGE,2017,12,1,1,368767.71020,5030525.56690,-75.68275,45.41174
1577,CUMMINGS AVE @ OGILVIE RD,2017,12,2,0,372748.72020,5032170.58570,-75.63167,45.42617
2271,GRANT CARMAN DR @ MEADOWLANDS DR,2017,12,0,2,365051.69410,5023901.50740,-75.73103,45.35247
2407,HAWTHORNE AVE/ISABELLA ST @ QUEEN ELIZABETH DR,2017,12,1,2,368665.71150,5030476.57220,-75.68406,45.41131
2624,HIGHWAY 417 btwn HWY417 IC131 RAMP66 & HWY417 IC130 RAMP26,2017,12,0,0,359082.97319,5023063.97414,-75.80730,45.34542
2798,HWY 417 INNES IC112R57 @ INNES RD,2017,12,0,0,374298.85150,5030754.32900,-75.61206,45.41327
3324,LEMIEUX ST @ ST. LAURENT BLVD,2017,12,0,0,372391.72470,5031742.56440,-75.63629,45.42235
3422,MACKENZIE KING BR/WALLER ST @ NICHOLAS ST/WALL,2017,12,0,2,368372.14560,5031992.63850,-75.68762,45.42498
4450,RICHMOND RD @ HOLLY ACRES RD/NANAIMO DR,2017,12,0,1,359058.67160,5022748.49610,-75.80764,45.34258
4527,RIOCAN AVE @ STRANDHERD DR,2017,12,0,0,364172.20880,5014944.57260,-75.74333,45.27195
4608,ROBERTSON RD btwn FITZGERALD RD & MOODIE DR,2017,12,0,1,356927.79002,5020372.96041,-75.83508,45.32137
5027,STRANDHERD DR @ LONGFIELDS DR,2017,12,0,0,364548.81050,5015173.32470,-75.73850,45.27398
5124,TERRY FOX DR @ PALLADIUM DR/KATIMAVIK RD,2017,12,0,0,351269.71800,5018181.77520,-75.90745,45.30205
5179,TRIM RD @ DAIRY DR/TAYLOR CREEK DR,2017,12,0,0,384535.05100,5039595.39100,-75.47987,45.49173
82,ALBERT ST @ ELGIN ST/MACKENZIE KING BRIDGE,2017,11,0,0,367850.71160,5031711.58140,-75.69432,45.42250
184,ANDERSON RD @ INNES RD,2017,11,0,0,376280.74110,5031841.56390,-75.58659,45.42286
432,BANKFIELD RD @ PRINCE OF WALES DR,2017,11,0,0,366379.68990,5008975.38640,-75.71594,45.21805
690,BLACKBURN BYPASS @ NAVAN RD,2017,11,0,0,379617.74710,5033274.56230,-75.54373,45.43540
705,BLAIR RD @ MONTREAL RD,2017,11,0,0,374019.72020,5034439.58480,-75.61511,45.44646
1005,CAMBRIAN RD/GOLFLINKS DR W @ LONGFIELDS DR,2017,11,0,0,365382.69080,5013223.41650,-75.72811,45.25636
1059,CARLING AVE @ CLYDE AVE/COLE AVE,2017,11,0,0,363520.69060,5026850.54210,-75.75022,45.37914
1155,CARLING AVE/STATION RD @ MARCH RD,2017,11,0,0,350907.61680,5022246.50760,-75.91169,45.33865
1598,CYRVILLE RD @ ST. LAURENT BLVD,2017,11,0,0,372241.72080,5032111.58000,-75.63816,45.42569
1603,CYRVILLE RD btwn STAR TOP RD & MEADOWBROOK RD,2017,11,1,0,374215.27138,5031337.92500,-75.61305,45.41853
1702,DONALD ST @ VANIER PKWY,2017,11,1,0,370311.71310,5032270.58540,-75.66280,45.42730
1974,FALLOWFIELD RD @ STRANDHERD DR,2017,11,0,0,360752.22480,5014962.15430,-75.78691,45.27239
2298,GREENBANK RD @ LISA AVE,2017,11,0,0,360554.67510,5022893.49210,-75.78854,45.34377
2299,GREENBANK RD @ MALVERN DR/FOXFIELD DR,2017,11,0,0,363311.68640,5016194.43330,-75.75415,45.28327
2474,HERON RD @ ALTA VISTA DR,2017,11,0,0,370492.72240,5026902.53710,-75.66120,45.37898
2501,HERZBERG RD @ MARCH RD,2017,11,0,0,352323.62220,5021528.48830,-75.89369,45.33210
2553,HIGHWAY 417 btwn HIGHWAY 417 & HWY417 IC129 RAMP51,2017,11,0,0,359897.44057,5023161.86002,-75.79689,45.34624
2574,HIGHWAY 417 btwn HWY417 IC115 RAMP61 & REGIONAL ROAD 174,2017,11,0,0,373047.29638,5031635.15437,-75.62793,45.42132
2586,HIGHWAY 417 btwn HWY417 IC119B RAMP57 & HWY417 IC119A RAMP75,2017,11,0,0,368360.47981,5030384.41720,-75.68797,45.41051
2656,HIGHWAY 417 btwn HWY417 IC163 RAMP16 & HWY417 IC163 RAMP61,2017,11,0,0,331706.48436,5021395.79106,-76.15673,45.33200
2679,HIGHWAY 417 btwn TRANSIT & HWY417 IC127 RAMP35,2017,11,0,0,361960.10532,5024696.12687,-75.77039,45.35988
2742,HUNT CLUB RD @ DOWNPATRICK RD/MCCARTHY RD,2017,11,0,1,370507.73440,5023400.50900,-75.66147,45.34747
2784,HUNTMAR DR @ PALLADIUM DR S,2017,11,0,0,349675.60660,5017365.43640,-75.92785,45.29481
3047,JOCKVALE RD @ STRANDHERD DR,2017,11,0,0,363560.48050,5014577.83720,-75.75117,45.26870
3081,KANATA AVE @ TERRY FOX DR,2017,11,0,0,349305.86750,5019211.58460,-75.93240,45.31145
